patch_id,region,px_r0,px_c0,size,is_overlap,pooled_split,n_valid_px,valid_frac,n_loss_px,loss_frac,loss_frac_of_valid,has_loss
wayanad__p_02_08,wayanad,512,2048,256,0,train,65536,1.0,64,0.000977,0.000977,1
wayanad__p_02_09,wayanad,512,2304,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_02_10,wayanad,512,2560,256,0,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_03_00,wayanad,768,0,256,0,train,65280,0.9961,9,0.000137,0.000138,1
wayanad__p_03_01,wayanad,768,256,256,0,train,65384,0.9977,9,0.000137,0.000138,1
wayanad__p_03_02,wayanad,768,512,256,0,val,65211,0.995,0,0.0,0.0,0
wayanad__p_03_03,wayanad,768,768,256,0,val,65536,1.0,263,0.004013,0.004013,1
wayanad__p_03_04,wayanad,768,1024,256,0,test,65536,1.0,85,0.001297,0.001297,1
wayanad__p_03_05,wayanad,768,1280,256,0,test,65536,1.0,244,0.003723,0.003723,1
wayanad__p_03_06,wayanad,768,1536,256,0,train,65536,1.0,181,0.002762,0.002762,1
wayanad__p_03_07,wayanad,768,1792,256,0,train,65536,1.0,96,0.001465,0.001465,1
wayanad__p_03_08,wayanad,768,2048,256,0,train,65536,1.0,291,0.00444,0.00444,1
wayanad__p_03_09,wayanad,768,2304,256,0,train,65536,1.0,30,0.000458,0.000458,1
wayanad__p_03_10,wayanad,768,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_04_00,wayanad,1024,0,256,0,train,65145,0.994,224,0.003418,0.003438,1
wayanad__p_04_01,wayanad,1024,256,256,0,train,65536,1.0,58,0.000885,0.000885,1
wayanad__p_04_02,wayanad,1024,512,256,0,train,65536,1.0,205,0.003128,0.003128,1
wayanad__p_04_03,wayanad,1024,768,256,0,train,65536,1.0,190,0.002899,0.002899,1
wayanad__p_04_04,wayanad,1024,1024,256,0,train,65536,1.0,301,0.004593,0.004593,1
wayanad__p_04_05,wayanad,1024,1280,256,0,train,65536,1.0,135,0.00206,0.00206,1
wayanad__p_04_06,wayanad,1024,1536,256,0,train,65536,1.0,144,0.002197,0.002197,1
wayanad__p_04_07,wayanad,1024,1792,256,0,train,65536,1.0,190,0.002899,0.002899,1
wayanad__p_04_08,wayanad,1024,2048,256,0,train,65536,1.0,36,0.000549,0.000549,1
wayanad__p_04_09,wayanad,1024,2304,256,0,train,65536,1.0,55,0.000839,0.000839,1
wayanad__p_04_10,wayanad,1024,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_05_00,wayanad,1280,0,256,0,train,64512,0.9844,33,0.000504,0.000512,1
wayanad__p_05_01,wayanad,1280,256,256,0,train,65536,1.0,13,0.000198,0.000198,1
wayanad__p_05_02,wayanad,1280,512,256,0,train,65536,1.0,83,0.001266,0.001266,1
wayanad__p_05_03,wayanad,1280,768,256,0,train,65536,1.0,244,0.003723,0.003723,1
wayanad__p_05_04,wayanad,1280,1024,256,0,train,65527,0.9999,324,0.004944,0.004945,1
wayanad__p_05_05,wayanad,1280,1280,256,0,train,65536,1.0,93,0.001419,0.001419,1
wayanad__p_05_06,wayanad,1280,1536,256,0,train,65536,1.0,64,0.000977,0.000977,1
wayanad__p_05_07,wayanad,1280,1792,256,0,train,65536,1.0,368,0.005615,0.005615,1
wayanad__p_05_08,wayanad,1280,2048,256,0,train,65536,1.0,482,0.007355,0.007355,1
wayanad__p_05_09,wayanad,1280,2304,256,0,train,65536,1.0,61,0.000931,0.000931,1
wayanad__p_05_10,wayanad,1280,2560,256,0,train,65536,1.0,326,0.004974,0.004974,1
wayanad__p_06_00,wayanad,1536,0,256,0,train,64512,0.9844,49,0.000748,0.00076,1
wayanad__p_06_01,wayanad,1536,256,256,0,train,65536,1.0,96,0.001465,0.001465,1
wayanad__p_06_02,wayanad,1536,512,256,0,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_06_03,wayanad,1536,768,256,0,train,65536,1.0,189,0.002884,0.002884,1
wayanad__p_06_04,wayanad,1536,1024,256,0,test,65536,1.0,234,0.003571,0.003571,1
wayanad__p_06_05,wayanad,1536,1280,256,0,test,65536,1.0,774,0.01181,0.01181,1
wayanad__p_06_06,wayanad,1536,1536,256,0,train,65536,1.0,193,0.002945,0.002945,1
wayanad__p_06_07,wayanad,1536,1792,256,0,train,65536,1.0,159,0.002426,0.002426,1
wayanad__p_06_08,wayanad,1536,2048,256,0,train,65536,1.0,141,0.002151,0.002151,1
wayanad__p_06_09,wayanad,1536,2304,256,0,train,65536,1.0,75,0.001144,0.001144,1
wayanad__p_06_10,wayanad,1536,2560,256,0,test,65536,1.0,319,0.004868,0.004868,1
wayanad__p_07_00,wayanad,1792,0,256,0,train,64395,0.9826,252,0.003845,0.003913,1
wayanad__p_07_01,wayanad,1792,256,256,0,train,65536,1.0,906,0.013824,0.013824,1
wayanad__p_07_02,wayanad,1792,512,256,0,train,65536,1.0,398,0.006073,0.006073,1
wayanad__p_07_03,wayanad,1792,768,256,0,train,65536,1.0,637,0.00972,0.00972,1
wayanad__p_07_04,wayanad,1792,1024,256,0,test,65536,1.0,0,0.0,0.0,0
wayanad__p_07_05,wayanad,1792,1280,256,0,test,65536,1.0,144,0.002197,0.002197,1
wayanad__p_07_06,wayanad,1792,1536,256,0,train,65536,1.0,244,0.003723,0.003723,1
wayanad__p_07_07,wayanad,1792,1792,256,0,train,65536,1.0,73,0.001114,0.001114,1
wayanad__p_07_08,wayanad,1792,2048,256,0,train,65536,1.0,63,0.000961,0.000961,1
wayanad__p_07_09,wayanad,1792,2304,256,0,train,65536,1.0,141,0.002151,0.002151,1
wayanad__p_07_10,wayanad,1792,2560,256,0,test,65536,1.0,91,0.001389,0.001389,1
wayanad__p_08_00,wayanad,2048,0,256,0,val,63744,0.9727,442,0.006744,0.006934,1
wayanad__p_08_01,wayanad,2048,256,256,0,val,65536,1.0,210,0.003204,0.003204,1
wayanad__p_08_02,wayanad,2048,512,256,0,train,65536,1.0,300,0.004578,0.004578,1
wayanad__p_08_03,wayanad,2048,768,256,0,train,65536,1.0,129,0.001968,0.001968,1
wayanad__p_08_04,wayanad,2048,1024,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_08_05,wayanad,2048,1280,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_08_06,wayanad,2048,1536,256,0,train,65536,1.0,301,0.004593,0.004593,1
wayanad__p_08_07,wayanad,2048,1792,256,0,train,65536,1.0,136,0.002075,0.002075,1
wayanad__p_08_08,wayanad,2048,2048,256,0,val,65536,1.0,462,0.00705,0.00705,1
wayanad__p_08_09,wayanad,2048,2304,256,0,val,65536,1.0,243,0.003708,0.003708,1
wayanad__p_08_10,wayanad,2048,2560,256,0,train,65536,1.0,325,0.004959,0.004959,1
wayanad__p_09_00,wayanad,2304,0,256,0,val,63744,0.9727,205,0.003128,0.003216,1
wayanad__p_09_01,wayanad,2304,256,256,0,val,65536,1.0,133,0.002029,0.002029,1
wayanad__p_09_02,wayanad,2304,512,256,0,train,65536,1.0,23,0.000351,0.000351,1
wayanad__p_09_03,wayanad,2304,768,256,0,train,65536,1.0,206,0.003143,0.003143,1
wayanad__p_09_04,wayanad,2304,1024,256,0,train,65536,1.0,30,0.000458,0.000458,1
wayanad__p_09_05,wayanad,2304,1280,256,0,train,65536,1.0,81,0.001236,0.001236,1
wayanad__p_09_06,wayanad,2304,1536,256,0,train,65536,1.0,55,0.000839,0.000839,1
wayanad__p_09_07,wayanad,2304,1792,256,0,train,65536,1.0,239,0.003647,0.003647,1
wayanad__p_09_08,wayanad,2304,2048,256,0,val,65536,1.0,387,0.005905,0.005905,1
wayanad__p_09_09,wayanad,2304,2304,256,0,val,65536,1.0,49,0.000748,0.000748,1
wayanad__p_09_10,wayanad,2304,2560,256,0,train,65536,1.0,61,0.000931,0.000931,1
wayanad__p_ov_00000_00640,wayanad,0,640,256,1,train,62255,0.9499,24,0.000366,0.000386,1
wayanad__p_ov_00000_00896,wayanad,0,896,256,1,train,64000,0.9766,0,0.0,0.0,0
wayanad__p_ov_00000_01152,wayanad,0,1152,256,1,train,64000,0.9766,9,0.000137,0.000141,1
wayanad__p_ov_00000_02688,wayanad,0,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_00512,wayanad,128,512,256,1,train,64900,0.9903,65,0.000992,0.001002,1
wayanad__p_ov_00128_00640,wayanad,128,640,256,1,train,64136,0.9786,43,0.000656,0.00067,1
wayanad__p_ov_00128_00768,wayanad,128,768,256,1,train,64639,0.9863,6,9.2e-05,9.3e-05,1
wayanad__p_ov_00128_00896,wayanad,128,896,256,1,train,65536,1.0,39,0.000595,0.000595,1
wayanad__p_ov_00128_01024,wayanad,128,1024,256,1,train,65536,1.0,33,0.000504,0.000504,1
wayanad__p_ov_00128_01152,wayanad,128,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_01280,wayanad,128,1280,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_02560,wayanad,128,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_02688,wayanad,128,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00256_00640,wayanad,256,640,256,1,train,64529,0.9846,308,0.0047,0.004773,1
wayanad__p_ov_00256_00896,wayanad,256,896,256,1,train,65536,1.0,45,0.000687,0.000687,1
wayanad__p_ov_00256_01152,wayanad,256,1152,256,1,train,65536,1.0,30,0.000458,0.000458,1
wayanad__p_ov_00256_02688,wayanad,256,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00384_02560,wayanad,384,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00384_02688,wayanad,384,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00512_00128,wayanad,512,128,256,1,train,65536,1.0,85,0.001297,0.001297,1
wayanad__p_ov_00512_01664,wayanad,512,1664,256,1,train,65536,1.0,144,0.002197,0.002197,1
wayanad__p_ov_00512_01920,wayanad,512,1920,256,1,train,65536,1.0,64,0.000977,0.000977,1
wayanad__p_ov_00512_02176,wayanad,512,2176,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00512_02432,wayanad,512,2432,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_00512_02688,wayanad,512,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00640_00000,wayanad,640,0,256,1,train,65280,0.9961,40,0.00061,0.000613,1
wayanad__p_ov_00640_00128,wayanad,640,128,256,1,train,65527,0.9999,40,0.00061,0.00061,1
wayanad__p_ov_00640_00256,wayanad,640,256,256,1,train,65390,0.9978,9,0.000137,0.000138,1
wayanad__p_ov_00640_01536,wayanad,640,1536,256,1,train,65536,1.0,229,0.003494,0.003494,1
wayanad__p_ov_00640_01664,wayanad,640,1664,256,1,train,65536,1.0,226,0.003448,0.003448,1
wayanad__p_ov_00640_01792,wayanad,640,1792,256,1,train,65536,1.0,120,0.001831,0.001831,1
wayanad__p_ov_00640_01920,wayanad,640,1920,256,1,train,65536,1.0,64,0.000977,0.000977,1
wayanad__p_ov_00640_02048,wayanad,640,2048,256,1,train,65536,1.0,96,0.001465,0.001465,1
wayanad__p_ov_00640_02176,wayanad,640,2176,256,1,train,65536,1.0,32,0.000488,0.000488,1
wayanad__p_ov_00640_02304,wayanad,640,2304,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00640_02432,wayanad,640,2432,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_00640_02560,wayanad,640,2560,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_00640_02688,wayanad,640,2688,256,1,train,65536,1.0,117,0.001785,0.001785,1
wayanad__p_ov_00768_00128,wayanad,768,128,256,1,train,65527,0.9999,0,0.0,0.0,0
wayanad__p_ov_00768_01664,wayanad,768,1664,256,1,train,65536,1.0,88,0.001343,0.001343,1
wayanad__p_ov_00768_01920,wayanad,768,1920,256,1,train,65536,1.0,111,0.001694,0.001694,1
wayanad__p_ov_00768_02176,wayanad,768,2176,256,1,train,65536,1.0,276,0.004211,0.004211,1
wayanad__p_ov_00768_02432,wayanad,768,2432,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00768_02688,wayanad,768,2688,256,1,train,65536,1.0,117,0.001785,0.001785,1
wayanad__p_ov_00896_00000,wayanad,896,0,256,1,train,65280,0.9961,93,0.001419,0.001425,1
wayanad__p_ov_00896_00128,wayanad,896,128,256,1,train,65536,1.0,44,0.000671,0.000671,1
wayanad__p_ov_00896_00256,wayanad,896,256,256,1,train,65530,0.9999,15,0.000229,0.000229,1
wayanad__p_ov_00896_01536,wayanad,896,1536,256,1,train,65536,1.0,39,0.000595,0.000595,1
wayanad__p_ov_00896_01664,wayanad,896,1664,256,1,train,65536,1.0,45,0.000687,0.000687,1
wayanad__p_ov_00896_01792,wayanad,896,1792,256,1,train,65536,1.0,151,0.002304,0.002304,1
wayanad__p_ov_00896_01920,wayanad,896,1920,256,1,train,65536,1.0,190,0.002899,0.002899,1
wayanad__p_ov_00896_02048,wayanad,896,2048,256,1,train,65536,1.0,286,0.004364,0.004364,1
wayanad__p_ov_00896_02176,wayanad,896,2176,256,1,train,65536,1.0,271,0.004135,0.004135,1
wayanad__p_ov_00896_02304,wayanad,896,2304,256,1,train,65536,1.0,52,0.000793,0.000793,1
wayanad__p_ov_00896_02432,wayanad,896,2432,256,1,train,65536,1.0,22,0.000336,0.000336,1
wayanad__p_ov_00896_02560,wayanad,896,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00896_02688,wayanad,896,2688,256,1,train,65536,1.0,113,0.001724,0.001724,1
wayanad__p_ov_01024_00128,wayanad,1024,128,256,1,train,65536,1.0,120,0.001831,0.001831,1
wayanad__p_ov_01024_00384,wayanad,1024,384,256,1,train,65536,1.0,239,0.003647,0.003647,1
wayanad__p_ov_01024_00640,wayanad,1024,640,256,1,train,65536,1.0,208,0.003174,0.003174,1
wayanad__p_ov_01024_00896,wayanad,1024,896,256,1,train,65536,1.0,124,0.001892,0.001892,1
wayanad__p_ov_01024_01152,wayanad,1024,1152,256,1,train,65536,1.0,285,0.004349,0.004349,1
wayanad__p_ov_01024_01408,wayanad,1024,1408,256,1,train,65536,1.0,117,0.001785,0.001785,1
wayanad__p_ov_01024_01664,wayanad,1024,1664,256,1,train,65536,1.0,69,0.001053,0.001053,1
wayanad__p_ov_01024_01920,wayanad,1024,1920,256,1,train,65536,1.0,190,0.002899,0.002899,1
wayanad__p_ov_01024_02176,wayanad,1024,2176,256,1,train,65536,1.0,60,0.000916,0.000916,1
wayanad__p_ov_01024_02432,wayanad,1024,2432,256,1,train,65536,1.0,22,0.000336,0.000336,1
wayanad__p_ov_01024_02688,wayanad,1024,2688,256,1,train,65536,1.0,113,0.001724,0.001724,1
wayanad__p_ov_01152_00000,wayanad,1152,0,256,1,train,64761,0.9882,140,0.002136,0.002162,1
wayanad__p_ov_01152_00128,wayanad,1152,128,256,1,train,65536,1.0,76,0.00116,0.00116,1
wayanad__p_ov_01152_00256,wayanad,1152,256,256,1,train,65536,1.0,52,0.000793,0.000793,1
wayanad__p_ov_01152_00384,wayanad,1152,384,256,1,train,65536,1.0,57,0.00087,0.00087,1
wayanad__p_ov_01152_00512,wayanad,1152,512,256,1,train,65536,1.0,30,0.000458,0.000458,1
wayanad__p_ov_01152_00640,wayanad,1152,640,256,1,train,65536,1.0,73,0.001114,0.001114,1
wayanad__p_ov_01152_00768,wayanad,1152,768,256,1,train,65536,1.0,241,0.003677,0.003677,1
wayanad__p_ov_01152_00896,wayanad,1152,896,256,1,train,65527,0.9999,399,0.006088,0.006089,1
wayanad__p_ov_01152_01024,wayanad,1152,1024,256,1,train,65527,0.9999,314,0.004791,0.004792,1
wayanad__p_ov_01152_01152,wayanad,1152,1152,256,1,train,65536,1.0,160,0.002441,0.002441,1
wayanad__p_ov_01152_01280,wayanad,1152,1280,256,1,train,65536,1.0,52,0.000793,0.000793,1
wayanad__p_ov_01152_01408,wayanad,1152,1408,256,1,train,65536,1.0,148,0.002258,0.002258,1
wayanad__p_ov_01152_01536,wayanad,1152,1536,256,1,train,65536,1.0,169,0.002579,0.002579,1
wayanad__p_ov_01152_01664,wayanad,1152,1664,256,1,train,65536,1.0,114,0.00174,0.00174,1
wayanad__p_ov_01152_01792,wayanad,1152,1792,256,1,train,65536,1.0,240,0.003662,0.003662,1
wayanad__p_ov_01152_01920,wayanad,1152,1920,256,1,train,65536,1.0,224,0.003418,0.003418,1
wayanad__p_ov_01152_02048,wayanad,1152,2048,256,1,train,65536,1.0,159,0.002426,0.002426,1
wayanad__p_ov_01152_02176,wayanad,1152,2176,256,1,train,65536,1.0,115,0.001755,0.001755,1
wayanad__p_ov_01152_02304,wayanad,1152,2304,256,1,train,65536,1.0,33,0.000504,0.000504,1
wayanad__p_ov_01152_02432,wayanad,1152,2432,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01152_02560,wayanad,1152,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01152_02688,wayanad,1152,2688,256,1,train,65536,1.0,84,0.001282,0.001282,1
wayanad__p_ov_01280_00128,wayanad,1280,128,256,1,train,65536,1.0,31,0.000473,0.000473,1
wayanad__p_ov_01280_00384,wayanad,1280,384,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_01280_00640,wayanad,1280,640,256,1,train,65536,1.0,134,0.002045,0.002045,1
wayanad__p_ov_01280_00896,wayanad,1280,896,256,1,train,65527,0.9999,466,0.007111,0.007112,1
wayanad__p_ov_01280_01152,wayanad,1280,1152,256,1,train,65536,1.0,122,0.001862,0.001862,1
wayanad__p_ov_01280_01408,wayanad,1280,1408,256,1,train,65536,1.0,80,0.001221,0.001221,1
wayanad__p_ov_01280_01664,wayanad,1280,1664,256,1,train,65536,1.0,207,0.003159,0.003159,1
wayanad__p_ov_01280_01920,wayanad,1280,1920,256,1,train,65536,1.0,507,0.007736,0.007736,1
wayanad__p_ov_01280_02176,wayanad,1280,2176,256,1,train,65536,1.0,197,0.003006,0.003006,1
wayanad__p_ov_01280_02432,wayanad,1280,2432,256,1,train,65536,1.0,15,0.000229,0.000229,1
wayanad__p_ov_01280_02688,wayanad,1280,2688,256,1,train,65536,1.0,467,0.007126,0.007126,1
wayanad__p_ov_01408_00000,wayanad,1408,0,256,1,train,64512,0.9844,60,0.000916,0.00093,1
wayanad__p_ov_01408_00128,wayanad,1408,128,256,1,train,65536,1.0,124,0.001892,0.001892,1
wayanad__p_ov_01408_00256,wayanad,1408,256,256,1,train,65536,1.0,90,0.001373,0.001373,1
wayanad__p_ov_01408_00384,wayanad,1408,384,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_01408_00512,wayanad,1408,512,256,1,train,65536,1.0,58,0.000885,0.000885,1
wayanad__p_ov_01408_00640,wayanad,1408,640,256,1,train,65536,1.0,112,0.001709,0.001709,1
wayanad__p_ov_01408_00768,wayanad,1408,768,256,1,train,65536,1.0,189,0.002884,0.002884,1
wayanad__p_ov_01408_01536,wayanad,1408,1536,256,1,train,65536,1.0,42,0.000641,0.000641,1
wayanad__p_ov_01408_01664,wayanad,1408,1664,256,1,train,65536,1.0,165,0.002518,0.002518,1
wayanad__p_ov_01408_01792,wayanad,1408,1792,256,1,train,65536,1.0,269,0.004105,0.004105,1
wayanad__p_ov_01408_01920,wayanad,1408,1920,256,1,train,65536,1.0,427,0.006516,0.006516,1
wayanad__p_ov_01408_02048,wayanad,1408,2048,256,1,train,65536,1.0,419,0.006393,0.006393,1
wayanad__p_ov_01408_02176,wayanad,1408,2176,256,1,train,65536,1.0,184,0.002808,0.002808,1
wayanad__p_ov_01408_02304,wayanad,1408,2304,256,1,train,65536,1.0,136,0.002075,0.002075,1
wayanad__p_ov_01536_00128,wayanad,1536,128,256,1,train,65536,1.0,112,0.001709,0.001709,1
wayanad__p_ov_01536_00384,wayanad,1536,384,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_01536_00640,wayanad,1536,640,256,1,train,65536,1.0,15,0.000229,0.000229,1
wayanad__p_ov_01536_01664,wayanad,1536,1664,256,1,train,65536,1.0,147,0.002243,0.002243,1
wayanad__p_ov_01536_01920,wayanad,1536,1920,256,1,train,65536,1.0,150,0.002289,0.002289,1
wayanad__p_ov_01536_02176,wayanad,1536,2176,256,1,train,65536,1.0,111,0.001694,0.001694,1
wayanad__p_ov_01664_00000,wayanad,1664,0,256,1,train,64512,0.9844,271,0.004135,0.004201,1
wayanad__p_ov_01664_00128,wayanad,1664,128,256,1,train,65536,1.0,602,0.009186,0.009186,1
wayanad__p_ov_01664_00256,wayanad,1664,256,256,1,train,65536,1.0,864,0.013184,0.013184,1
wayanad__p_ov_01664_00384,wayanad,1664,384,256,1,train,65536,1.0,514,0.007843,0.007843,1
wayanad__p_ov_01664_00512,wayanad,1664,512,256,1,train,65536,1.0,130,0.001984,0.001984,1
wayanad__p_ov_01664_00640,wayanad,1664,640,256,1,train,65536,1.0,187,0.002853,0.002853,1
wayanad__p_ov_01664_00768,wayanad,1664,768,256,1,train,65536,1.0,162,0.002472,0.002472,1
wayanad__p_ov_01664_01536,wayanad,1664,1536,256,1,train,65536,1.0,209,0.003189,0.003189,1
wayanad__p_ov_01664_01664,wayanad,1664,1664,256,1,train,65536,1.0,105,0.001602,0.001602,1
wayanad__p_ov_01664_01792,wayanad,1664,1792,256,1,train,65536,1.0,129,0.001968,0.001968,1
wayanad__p_ov_01664_01920,wayanad,1664,1920,256,1,train,65536,1.0,180,0.002747,0.002747,1
wayanad__p_ov_01664_02048,wayanad,1664,2048,256,1,train,65536,1.0,117,0.001785,0.001785,1
wayanad__p_ov_01664_02176,wayanad,1664,2176,256,1,train,65536,1.0,42,0.000641,0.000641,1
wayanad__p_ov_01664_02304,wayanad,1664,2304,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01792_00128,wayanad,1792,128,256,1,train,65536,1.0,607,0.009262,0.009262,1
wayanad__p_ov_01792_00384,wayanad,1792,384,256,1,train,65536,1.0,736,0.01123,0.01123,1
wayanad__p_ov_01792_00640,wayanad,1792,640,256,1,train,65536,1.0,492,0.007507,0.007507,1
wayanad__p_ov_01792_01664,wayanad,1792,1664,256,1,train,65536,1.0,27,0.000412,0.000412,1
wayanad__p_ov_01792_01920,wayanad,1792,1920,256,1,train,65536,1.0,109,0.001663,0.001663,1
wayanad__p_ov_01792_02176,wayanad,1792,2176,256,1,train,65536,1.0,76,0.00116,0.00116,1
wayanad__p_ov_01920_00512,wayanad,1920,512,256,1,train,65536,1.0,340,0.005188,0.005188,1
wayanad__p_ov_01920_00640,wayanad,1920,640,256,1,train,65536,1.0,404,0.006165,0.006165,1
wayanad__p_ov_01920_00768,wayanad,1920,768,256,1,train,65536,1.0,577,0.008804,0.008804,1
wayanad__p_ov_01920_01536,wayanad,1920,1536,256,1,train,65536,1.0,290,0.004425,0.004425,1
wayanad__p_ov_01920_01664,wayanad,1920,1664,256,1,train,65536,1.0,27,0.000412,0.000412,1
wayanad__p_ov_01920_01792,wayanad,1920,1792,256,1,train,65536,1.0,185,0.002823,0.002823,1
wayanad__p_ov_02048_00640,wayanad,2048,640,256,1,train,65536,1.0,183,0.002792,0.002792,1
wayanad__p_ov_02048_00896,wayanad,2048,896,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_02048_01152,wayanad,2048,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_02048_01408,wayanad,2048,1408,256,1,train,65536,1.0,262,0.003998,0.003998,1
wayanad__p_ov_02048_01664,wayanad,2048,1664,256,1,train,65536,1.0,63,0.000961,0.000961,1
wayanad__p_ov_02048_02688,wayanad,2048,2688,256,1,train,65536,1.0,356,0.005432,0.005432,1
wayanad__p_ov_02176_00512,wayanad,2176,512,256,1,train,65536,1.0,275,0.004196,0.004196,1
wayanad__p_ov_02176_00640,wayanad,2176,640,256,1,train,65536,1.0,217,0.003311,0.003311,1
wayanad__p_ov_02176_00768,wayanad,2176,768,256,1,train,65536,1.0,242,0.003693,0.003693,1
wayanad__p_ov_02176_00896,wayanad,2176,896,256,1,train,65536,1.0,43,0.000656,0.000656,1
wayanad__p_ov_02176_01024,wayanad,2176,1024,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_02176_01152,wayanad,2176,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_02176_01280,wayanad,2176,1280,256,1,train,65536,1.0,51,0.000778,0.000778,1
