patch_id,region,px_r0,px_c0,size,is_overlap,pooled_split,n_valid_px,valid_frac,n_loss_px,loss_frac,loss_frac_of_valid,has_loss
wayanad__p_04_00,wayanad,1024,0,256,0,train,65145,0.994,0,0.0,0.0,0
wayanad__p_04_01,wayanad,1024,256,256,0,train,65536,1.0,38,0.00058,0.00058,1
wayanad__p_04_02,wayanad,1024,512,256,0,train,65536,1.0,61,0.000931,0.000931,1
wayanad__p_04_03,wayanad,1024,768,256,0,train,65536,1.0,38,0.00058,0.00058,1
wayanad__p_04_04,wayanad,1024,1024,256,0,train,65536,1.0,74,0.001129,0.001129,1
wayanad__p_04_05,wayanad,1024,1280,256,0,train,65536,1.0,244,0.003723,0.003723,1
wayanad__p_04_06,wayanad,1024,1536,256,0,train,65536,1.0,278,0.004242,0.004242,1
wayanad__p_04_07,wayanad,1024,1792,256,0,train,65536,1.0,688,0.010498,0.010498,1
wayanad__p_04_08,wayanad,1024,2048,256,0,train,65536,1.0,330,0.005035,0.005035,1
wayanad__p_04_09,wayanad,1024,2304,256,0,train,65536,1.0,88,0.001343,0.001343,1
wayanad__p_04_10,wayanad,1024,2560,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_05_00,wayanad,1280,0,256,0,train,64512,0.9844,14,0.000214,0.000217,1
wayanad__p_05_01,wayanad,1280,256,256,0,train,65536,1.0,262,0.003998,0.003998,1
wayanad__p_05_02,wayanad,1280,512,256,0,train,65536,1.0,77,0.001175,0.001175,1
wayanad__p_05_03,wayanad,1280,768,256,0,train,65536,1.0,111,0.001694,0.001694,1
wayanad__p_05_04,wayanad,1280,1024,256,0,train,65527,0.9999,274,0.004181,0.004181,1
wayanad__p_05_05,wayanad,1280,1280,256,0,train,65536,1.0,322,0.004913,0.004913,1
wayanad__p_05_06,wayanad,1280,1536,256,0,train,65536,1.0,216,0.003296,0.003296,1
wayanad__p_05_07,wayanad,1280,1792,256,0,train,65536,1.0,707,0.010788,0.010788,1
wayanad__p_05_08,wayanad,1280,2048,256,0,train,65536,1.0,362,0.005524,0.005524,1
wayanad__p_05_09,wayanad,1280,2304,256,0,train,65536,1.0,300,0.004578,0.004578,1
wayanad__p_05_10,wayanad,1280,2560,256,0,train,65536,1.0,164,0.002502,0.002502,1
wayanad__p_06_00,wayanad,1536,0,256,0,train,64512,0.9844,64,0.000977,0.000992,1
wayanad__p_06_01,wayanad,1536,256,256,0,train,65536,1.0,128,0.001953,0.001953,1
wayanad__p_06_02,wayanad,1536,512,256,0,train,65536,1.0,286,0.004364,0.004364,1
wayanad__p_06_03,wayanad,1536,768,256,0,train,65536,1.0,105,0.001602,0.001602,1
wayanad__p_06_04,wayanad,1536,1024,256,0,test,65536,1.0,231,0.003525,0.003525,1
wayanad__p_06_05,wayanad,1536,1280,256,0,test,65536,1.0,527,0.008041,0.008041,1
wayanad__p_06_06,wayanad,1536,1536,256,0,train,65536,1.0,187,0.002853,0.002853,1
wayanad__p_06_07,wayanad,1536,1792,256,0,train,65536,1.0,124,0.001892,0.001892,1
wayanad__p_06_08,wayanad,1536,2048,256,0,train,65536,1.0,183,0.002792,0.002792,1
wayanad__p_06_09,wayanad,1536,2304,256,0,train,65536,1.0,159,0.002426,0.002426,1
wayanad__p_06_10,wayanad,1536,2560,256,0,test,65536,1.0,133,0.002029,0.002029,1
wayanad__p_07_00,wayanad,1792,0,256,0,train,64395,0.9826,81,0.001236,0.001258,1
wayanad__p_07_01,wayanad,1792,256,256,0,train,65536,1.0,126,0.001923,0.001923,1
wayanad__p_07_02,wayanad,1792,512,256,0,train,65536,1.0,268,0.004089,0.004089,1
wayanad__p_07_03,wayanad,1792,768,256,0,train,65536,1.0,495,0.007553,0.007553,1
wayanad__p_07_04,wayanad,1792,1024,256,0,test,65536,1.0,507,0.007736,0.007736,1
wayanad__p_07_05,wayanad,1792,1280,256,0,test,65536,1.0,295,0.004501,0.004501,1
wayanad__p_07_06,wayanad,1792,1536,256,0,train,65536,1.0,58,0.000885,0.000885,1
wayanad__p_07_07,wayanad,1792,1792,256,0,train,65536,1.0,230,0.00351,0.00351,1
wayanad__p_07_08,wayanad,1792,2048,256,0,train,65536,1.0,174,0.002655,0.002655,1
wayanad__p_07_09,wayanad,1792,2304,256,0,train,65536,1.0,160,0.002441,0.002441,1
wayanad__p_07_10,wayanad,1792,2560,256,0,test,65536,1.0,247,0.003769,0.003769,1
wayanad__p_08_00,wayanad,2048,0,256,0,val,63744,0.9727,376,0.005737,0.005899,1
wayanad__p_08_01,wayanad,2048,256,256,0,val,65536,1.0,148,0.002258,0.002258,1
wayanad__p_08_02,wayanad,2048,512,256,0,train,65536,1.0,291,0.00444,0.00444,1
wayanad__p_08_03,wayanad,2048,768,256,0,train,65536,1.0,137,0.00209,0.00209,1
wayanad__p_08_04,wayanad,2048,1024,256,0,train,65536,1.0,37,0.000565,0.000565,1
wayanad__p_08_05,wayanad,2048,1280,256,0,train,65536,1.0,57,0.00087,0.00087,1
wayanad__p_08_06,wayanad,2048,1536,256,0,train,65536,1.0,169,0.002579,0.002579,1
wayanad__p_08_07,wayanad,2048,1792,256,0,train,65536,1.0,74,0.001129,0.001129,1
wayanad__p_08_08,wayanad,2048,2048,256,0,val,65536,1.0,166,0.002533,0.002533,1
wayanad__p_08_09,wayanad,2048,2304,256,0,val,65536,1.0,446,0.006805,0.006805,1
wayanad__p_08_10,wayanad,2048,2560,256,0,train,65536,1.0,320,0.004883,0.004883,1
wayanad__p_09_00,wayanad,2304,0,256,0,val,63744,0.9727,69,0.001053,0.001082,1
wayanad__p_09_01,wayanad,2304,256,256,0,val,65536,1.0,76,0.00116,0.00116,1
wayanad__p_09_02,wayanad,2304,512,256,0,train,65536,1.0,121,0.001846,0.001846,1
wayanad__p_09_03,wayanad,2304,768,256,0,train,65536,1.0,520,0.007935,0.007935,1
wayanad__p_09_04,wayanad,2304,1024,256,0,train,65536,1.0,106,0.001617,0.001617,1
wayanad__p_09_05,wayanad,2304,1280,256,0,train,65536,1.0,0,0.0,0.0,0
wayanad__p_09_06,wayanad,2304,1536,256,0,train,65536,1.0,107,0.001633,0.001633,1
wayanad__p_09_07,wayanad,2304,1792,256,0,train,65536,1.0,509,0.007767,0.007767,1
wayanad__p_09_08,wayanad,2304,2048,256,0,val,65536,1.0,300,0.004578,0.004578,1
wayanad__p_09_09,wayanad,2304,2304,256,0,val,65536,1.0,302,0.004608,0.004608,1
wayanad__p_09_10,wayanad,2304,2560,256,0,train,65536,1.0,192,0.00293,0.00293,1
wayanad__p_ov_00000_00640,wayanad,0,640,256,1,train,62255,0.9499,30,0.000458,0.000482,1
wayanad__p_ov_00000_00896,wayanad,0,896,256,1,train,64000,0.9766,0,0.0,0.0,0
wayanad__p_ov_00000_01152,wayanad,0,1152,256,1,train,64000,0.9766,0,0.0,0.0,0
wayanad__p_ov_00000_02688,wayanad,0,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_00512,wayanad,128,512,256,1,train,64900,0.9903,219,0.003342,0.003374,1
wayanad__p_ov_00128_00640,wayanad,128,640,256,1,train,64136,0.9786,148,0.002258,0.002308,1
wayanad__p_ov_00128_00768,wayanad,128,768,256,1,train,64639,0.9863,161,0.002457,0.002491,1
wayanad__p_ov_00128_00896,wayanad,128,896,256,1,train,65536,1.0,197,0.003006,0.003006,1
wayanad__p_ov_00128_01024,wayanad,128,1024,256,1,train,65536,1.0,36,0.000549,0.000549,1
wayanad__p_ov_00128_01152,wayanad,128,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_01280,wayanad,128,1280,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_02560,wayanad,128,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00128_02688,wayanad,128,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00256_00640,wayanad,256,640,256,1,train,64529,0.9846,311,0.004745,0.00482,1
wayanad__p_ov_00256_00896,wayanad,256,896,256,1,train,65536,1.0,583,0.008896,0.008896,1
wayanad__p_ov_00256_01152,wayanad,256,1152,256,1,train,65536,1.0,3,4.6e-05,4.6e-05,1
wayanad__p_ov_00256_02688,wayanad,256,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00384_02560,wayanad,384,2560,256,1,train,65536,1.0,61,0.000931,0.000931,1
wayanad__p_ov_00384_02688,wayanad,384,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00512_00128,wayanad,512,128,256,1,train,65536,1.0,329,0.00502,0.00502,1
wayanad__p_ov_00512_01664,wayanad,512,1664,256,1,train,65536,1.0,112,0.001709,0.001709,1
wayanad__p_ov_00512_01920,wayanad,512,1920,256,1,train,65536,1.0,140,0.002136,0.002136,1
wayanad__p_ov_00512_02176,wayanad,512,2176,256,1,train,65536,1.0,107,0.001633,0.001633,1
wayanad__p_ov_00512_02432,wayanad,512,2432,256,1,train,65536,1.0,86,0.001312,0.001312,1
wayanad__p_ov_00512_02688,wayanad,512,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00640_00000,wayanad,640,0,256,1,train,65280,0.9961,125,0.001907,0.001915,1
wayanad__p_ov_00640_00128,wayanad,640,128,256,1,train,65527,0.9999,79,0.001205,0.001206,1
wayanad__p_ov_00640_00256,wayanad,640,256,256,1,train,65390,0.9978,81,0.001236,0.001239,1
wayanad__p_ov_00640_01536,wayanad,640,1536,256,1,train,65536,1.0,194,0.00296,0.00296,1
wayanad__p_ov_00640_01664,wayanad,640,1664,256,1,train,65536,1.0,304,0.004639,0.004639,1
wayanad__p_ov_00640_01792,wayanad,640,1792,256,1,train,65536,1.0,202,0.003082,0.003082,1
wayanad__p_ov_00640_01920,wayanad,640,1920,256,1,train,65536,1.0,94,0.001434,0.001434,1
wayanad__p_ov_00640_02048,wayanad,640,2048,256,1,train,65536,1.0,19,0.00029,0.00029,1
wayanad__p_ov_00640_02176,wayanad,640,2176,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_00640_02304,wayanad,640,2304,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_00640_02432,wayanad,640,2432,256,1,train,65536,1.0,25,0.000381,0.000381,1
wayanad__p_ov_00640_02560,wayanad,640,2560,256,1,train,65536,1.0,25,0.000381,0.000381,1
wayanad__p_ov_00640_02688,wayanad,640,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00768_00128,wayanad,768,128,256,1,train,65527,0.9999,136,0.002075,0.002075,1
wayanad__p_ov_00768_01664,wayanad,768,1664,256,1,train,65536,1.0,552,0.008423,0.008423,1
wayanad__p_ov_00768_01920,wayanad,768,1920,256,1,train,65536,1.0,113,0.001724,0.001724,1
wayanad__p_ov_00768_02176,wayanad,768,2176,256,1,train,65536,1.0,15,0.000229,0.000229,1
wayanad__p_ov_00768_02432,wayanad,768,2432,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00768_02688,wayanad,768,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00896_00000,wayanad,896,0,256,1,train,65280,0.9961,33,0.000504,0.000506,1
wayanad__p_ov_00896_00128,wayanad,896,128,256,1,train,65536,1.0,76,0.00116,0.00116,1
wayanad__p_ov_00896_00256,wayanad,896,256,256,1,train,65530,0.9999,86,0.001312,0.001312,1
wayanad__p_ov_00896_01536,wayanad,896,1536,256,1,train,65536,1.0,302,0.004608,0.004608,1
wayanad__p_ov_00896_01664,wayanad,896,1664,256,1,train,65536,1.0,408,0.006226,0.006226,1
wayanad__p_ov_00896_01792,wayanad,896,1792,256,1,train,65536,1.0,394,0.006012,0.006012,1
wayanad__p_ov_00896_01920,wayanad,896,1920,256,1,train,65536,1.0,298,0.004547,0.004547,1
wayanad__p_ov_00896_02048,wayanad,896,2048,256,1,train,65536,1.0,155,0.002365,0.002365,1
wayanad__p_ov_00896_02176,wayanad,896,2176,256,1,train,65536,1.0,79,0.001205,0.001205,1
wayanad__p_ov_00896_02304,wayanad,896,2304,256,1,train,65536,1.0,94,0.001434,0.001434,1
wayanad__p_ov_00896_02432,wayanad,896,2432,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_00896_02560,wayanad,896,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_00896_02688,wayanad,896,2688,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01024_00128,wayanad,1024,128,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01024_00384,wayanad,1024,384,256,1,train,65536,1.0,99,0.001511,0.001511,1
wayanad__p_ov_01024_00640,wayanad,1024,640,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_01024_00896,wayanad,1024,896,256,1,train,65536,1.0,88,0.001343,0.001343,1
wayanad__p_ov_01024_01152,wayanad,1024,1152,256,1,train,65536,1.0,68,0.001038,0.001038,1
wayanad__p_ov_01024_01408,wayanad,1024,1408,256,1,train,65536,1.0,318,0.004852,0.004852,1
wayanad__p_ov_01024_01664,wayanad,1024,1664,256,1,train,65536,1.0,425,0.006485,0.006485,1
wayanad__p_ov_01024_01920,wayanad,1024,1920,256,1,train,65536,1.0,621,0.009476,0.009476,1
wayanad__p_ov_01024_02176,wayanad,1024,2176,256,1,train,65536,1.0,172,0.002625,0.002625,1
wayanad__p_ov_01024_02432,wayanad,1024,2432,256,1,train,65536,1.0,24,0.000366,0.000366,1
wayanad__p_ov_01024_02688,wayanad,1024,2688,256,1,train,65536,1.0,49,0.000748,0.000748,1
wayanad__p_ov_01152_00000,wayanad,1152,0,256,1,train,64761,0.9882,0,0.0,0.0,0
wayanad__p_ov_01152_00128,wayanad,1152,128,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01152_00256,wayanad,1152,256,256,1,train,65536,1.0,4,6.1e-05,6.1e-05,1
wayanad__p_ov_01152_00384,wayanad,1152,384,256,1,train,65536,1.0,10,0.000153,0.000153,1
wayanad__p_ov_01152_00512,wayanad,1152,512,256,1,train,65536,1.0,12,0.000183,0.000183,1
wayanad__p_ov_01152_00640,wayanad,1152,640,256,1,train,65536,1.0,6,9.2e-05,9.2e-05,1
wayanad__p_ov_01152_00768,wayanad,1152,768,256,1,train,65536,1.0,102,0.001556,0.001556,1
wayanad__p_ov_01152_00896,wayanad,1152,896,256,1,train,65527,0.9999,195,0.002975,0.002976,1
wayanad__p_ov_01152_01024,wayanad,1152,1024,256,1,train,65527,0.9999,93,0.001419,0.001419,1
wayanad__p_ov_01152_01152,wayanad,1152,1152,256,1,train,65536,1.0,127,0.001938,0.001938,1
wayanad__p_ov_01152_01280,wayanad,1152,1280,256,1,train,65536,1.0,136,0.002075,0.002075,1
wayanad__p_ov_01152_01408,wayanad,1152,1408,256,1,train,65536,1.0,132,0.002014,0.002014,1
wayanad__p_ov_01152_01536,wayanad,1152,1536,256,1,train,65536,1.0,259,0.003952,0.003952,1
wayanad__p_ov_01152_01664,wayanad,1152,1664,256,1,train,65536,1.0,457,0.006973,0.006973,1
wayanad__p_ov_01152_01792,wayanad,1152,1792,256,1,train,65536,1.0,722,0.011017,0.011017,1
wayanad__p_ov_01152_01920,wayanad,1152,1920,256,1,train,65536,1.0,519,0.007919,0.007919,1
wayanad__p_ov_01152_02048,wayanad,1152,2048,256,1,train,65536,1.0,346,0.00528,0.00528,1
wayanad__p_ov_01152_02176,wayanad,1152,2176,256,1,train,65536,1.0,403,0.006149,0.006149,1
wayanad__p_ov_01152_02304,wayanad,1152,2304,256,1,train,65536,1.0,175,0.00267,0.00267,1
wayanad__p_ov_01152_02432,wayanad,1152,2432,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01152_02560,wayanad,1152,2560,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_01152_02688,wayanad,1152,2688,256,1,train,65536,1.0,147,0.002243,0.002243,1
wayanad__p_ov_01280_00128,wayanad,1280,128,256,1,train,65536,1.0,139,0.002121,0.002121,1
wayanad__p_ov_01280_00384,wayanad,1280,384,256,1,train,65536,1.0,191,0.002914,0.002914,1
wayanad__p_ov_01280_00640,wayanad,1280,640,256,1,train,65536,1.0,18,0.000275,0.000275,1
wayanad__p_ov_01280_00896,wayanad,1280,896,256,1,train,65527,0.9999,223,0.003403,0.003403,1
wayanad__p_ov_01280_01152,wayanad,1280,1152,256,1,train,65536,1.0,463,0.007065,0.007065,1
wayanad__p_ov_01280_01408,wayanad,1280,1408,256,1,train,65536,1.0,204,0.003113,0.003113,1
wayanad__p_ov_01280_01664,wayanad,1280,1664,256,1,train,65536,1.0,154,0.00235,0.00235,1
wayanad__p_ov_01280_01920,wayanad,1280,1920,256,1,train,65536,1.0,774,0.01181,0.01181,1
wayanad__p_ov_01280_02176,wayanad,1280,2176,256,1,train,65536,1.0,340,0.005188,0.005188,1
wayanad__p_ov_01280_02432,wayanad,1280,2432,256,1,train,65536,1.0,271,0.004135,0.004135,1
wayanad__p_ov_01280_02688,wayanad,1280,2688,256,1,train,65536,1.0,148,0.002258,0.002258,1
wayanad__p_ov_01408_00000,wayanad,1408,0,256,1,train,64512,0.9844,23,0.000351,0.000357,1
wayanad__p_ov_01408_00128,wayanad,1408,128,256,1,train,65536,1.0,223,0.003403,0.003403,1
wayanad__p_ov_01408_00256,wayanad,1408,256,256,1,train,65536,1.0,337,0.005142,0.005142,1
wayanad__p_ov_01408_00384,wayanad,1408,384,256,1,train,65536,1.0,213,0.00325,0.00325,1
wayanad__p_ov_01408_00512,wayanad,1408,512,256,1,train,65536,1.0,93,0.001419,0.001419,1
wayanad__p_ov_01408_00640,wayanad,1408,640,256,1,train,65536,1.0,12,0.000183,0.000183,1
wayanad__p_ov_01408_00768,wayanad,1408,768,256,1,train,65536,1.0,9,0.000137,0.000137,1
wayanad__p_ov_01408_01536,wayanad,1408,1536,256,1,train,65536,1.0,270,0.00412,0.00412,1
wayanad__p_ov_01408_01664,wayanad,1408,1664,256,1,train,65536,1.0,179,0.002731,0.002731,1
wayanad__p_ov_01408_01792,wayanad,1408,1792,256,1,train,65536,1.0,595,0.009079,0.009079,1
wayanad__p_ov_01408_01920,wayanad,1408,1920,256,1,train,65536,1.0,758,0.011566,0.011566,1
wayanad__p_ov_01408_02048,wayanad,1408,2048,256,1,train,65536,1.0,377,0.005753,0.005753,1
wayanad__p_ov_01408_02176,wayanad,1408,2176,256,1,train,65536,1.0,247,0.003769,0.003769,1
wayanad__p_ov_01408_02304,wayanad,1408,2304,256,1,train,65536,1.0,284,0.004333,0.004333,1
wayanad__p_ov_01536_00128,wayanad,1536,128,256,1,train,65536,1.0,165,0.002518,0.002518,1
wayanad__p_ov_01536_00384,wayanad,1536,384,256,1,train,65536,1.0,37,0.000565,0.000565,1
wayanad__p_ov_01536_00640,wayanad,1536,640,256,1,train,65536,1.0,270,0.00412,0.00412,1
wayanad__p_ov_01536_01664,wayanad,1536,1664,256,1,train,65536,1.0,183,0.002792,0.002792,1
wayanad__p_ov_01536_01920,wayanad,1536,1920,256,1,train,65536,1.0,149,0.002274,0.002274,1
wayanad__p_ov_01536_02176,wayanad,1536,2176,256,1,train,65536,1.0,202,0.003082,0.003082,1
wayanad__p_ov_01664_00000,wayanad,1664,0,256,1,train,64512,0.9844,55,0.000839,0.000853,1
wayanad__p_ov_01664_00128,wayanad,1664,128,256,1,train,65536,1.0,81,0.001236,0.001236,1
wayanad__p_ov_01664_00256,wayanad,1664,256,256,1,train,65536,1.0,53,0.000809,0.000809,1
wayanad__p_ov_01664_00384,wayanad,1664,384,256,1,train,65536,1.0,82,0.001251,0.001251,1
wayanad__p_ov_01664_00512,wayanad,1664,512,256,1,train,65536,1.0,343,0.005234,0.005234,1
wayanad__p_ov_01664_00640,wayanad,1664,640,256,1,train,65536,1.0,653,0.009964,0.009964,1
wayanad__p_ov_01664_00768,wayanad,1664,768,256,1,train,65536,1.0,476,0.007263,0.007263,1
wayanad__p_ov_01664_01536,wayanad,1664,1536,256,1,train,65536,1.0,88,0.001343,0.001343,1
wayanad__p_ov_01664_01664,wayanad,1664,1664,256,1,train,65536,1.0,129,0.001968,0.001968,1
wayanad__p_ov_01664_01792,wayanad,1664,1792,256,1,train,65536,1.0,157,0.002396,0.002396,1
wayanad__p_ov_01664_01920,wayanad,1664,1920,256,1,train,65536,1.0,181,0.002762,0.002762,1
wayanad__p_ov_01664_02048,wayanad,1664,2048,256,1,train,65536,1.0,114,0.00174,0.00174,1
wayanad__p_ov_01664_02176,wayanad,1664,2176,256,1,train,65536,1.0,25,0.000381,0.000381,1
wayanad__p_ov_01664_02304,wayanad,1664,2304,256,1,train,65536,1.0,25,0.000381,0.000381,1
wayanad__p_ov_01792_00128,wayanad,1792,128,256,1,train,65536,1.0,9,0.000137,0.000137,1
wayanad__p_ov_01792_00384,wayanad,1792,384,256,1,train,65536,1.0,353,0.005386,0.005386,1
wayanad__p_ov_01792_00640,wayanad,1792,640,256,1,train,65536,1.0,487,0.007431,0.007431,1
wayanad__p_ov_01792_01664,wayanad,1792,1664,256,1,train,65536,1.0,70,0.001068,0.001068,1
wayanad__p_ov_01792_01920,wayanad,1792,1920,256,1,train,65536,1.0,317,0.004837,0.004837,1
wayanad__p_ov_01792_02176,wayanad,1792,2176,256,1,train,65536,1.0,196,0.002991,0.002991,1
wayanad__p_ov_01920_00512,wayanad,1920,512,256,1,train,65536,1.0,201,0.003067,0.003067,1
wayanad__p_ov_01920_00640,wayanad,1920,640,256,1,train,65536,1.0,135,0.00206,0.00206,1
wayanad__p_ov_01920_00768,wayanad,1920,768,256,1,train,65536,1.0,143,0.002182,0.002182,1
wayanad__p_ov_01920_01536,wayanad,1920,1536,256,1,train,65536,1.0,97,0.00148,0.00148,1
wayanad__p_ov_01920_01664,wayanad,1920,1664,256,1,train,65536,1.0,19,0.00029,0.00029,1
wayanad__p_ov_01920_01792,wayanad,1920,1792,256,1,train,65536,1.0,112,0.001709,0.001709,1
wayanad__p_ov_02048_00640,wayanad,2048,640,256,1,train,65536,1.0,328,0.005005,0.005005,1
wayanad__p_ov_02048_00896,wayanad,2048,896,256,1,train,65536,1.0,137,0.00209,0.00209,1
wayanad__p_ov_02048_01152,wayanad,2048,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_02048_01408,wayanad,2048,1408,256,1,train,65536,1.0,150,0.002289,0.002289,1
wayanad__p_ov_02048_01664,wayanad,2048,1664,256,1,train,65536,1.0,101,0.001541,0.001541,1
wayanad__p_ov_02048_02688,wayanad,2048,2688,256,1,train,65536,1.0,624,0.009521,0.009521,1
wayanad__p_ov_02176_00512,wayanad,2176,512,256,1,train,65536,1.0,400,0.006104,0.006104,1
wayanad__p_ov_02176_00640,wayanad,2176,640,256,1,train,65536,1.0,358,0.005463,0.005463,1
wayanad__p_ov_02176_00768,wayanad,2176,768,256,1,train,65536,1.0,282,0.004303,0.004303,1
wayanad__p_ov_02176_00896,wayanad,2176,896,256,1,train,65536,1.0,349,0.005325,0.005325,1
wayanad__p_ov_02176_01024,wayanad,2176,1024,256,1,train,65536,1.0,97,0.00148,0.00148,1
wayanad__p_ov_02176_01152,wayanad,2176,1152,256,1,train,65536,1.0,0,0.0,0.0,0
wayanad__p_ov_02176_01280,wayanad,2176,1280,256,1,train,65536,1.0,0,0.0,0.0,0
